File,Expected,Predicted,Intra_Hamming,Within_Threshold,Match,Authenticated
1_5.csv,1,1,12,True,True,True
10_5.csv,10,10,19,True,True,True
100_5.csv,100,100,19,True,True,True
101_5.csv,101,101,23,True,True,True
102_5.csv,102,102,16,True,True,True
103_5.csv,103,103,21,True,True,True
104_5.csv,104,104,18,True,True,True
105_5.csv,105,105,25,True,True,True
106_5.csv,106,106,20,True,True,True
107_5.csv,107,107,20,True,True,True
108_5.csv,108,108,14,True,True,True
109_5.csv,109,109,19,True,True,True
11_5.csv,11,11,13,True,True,True
110_5.csv,110,110,20,True,True,True
111_5.csv,111,111,20,True,True,True
112_5.csv,112,112,20,True,True,True
113_5.csv,113,113,22,True,True,True
114_5.csv,114,114,19,True,True,True
115_5.csv,115,115,24,True,True,True
116_5.csv,116,116,24,True,True,True
117_5.csv,117,117,15,True,True,True
118_5.csv,118,118,18,True,True,True
119_5.csv,119,119,30,False,True,False
12_5.csv,12,12,20,True,True,True
120_5.csv,120,120,21,True,True,True
121_5.csv,121,121,21,True,True,True
122_5.csv,122,122,21,True,True,True
123_5.csv,123,123,18,True,True,True
124_5.csv,124,124,26,False,True,False
125_5.csv,125,125,35,False,True,False
126_5.csv,126,126,16,True,True,True
127_5.csv,127,127,16,True,True,True
128_5.csv,128,128,23,True,True,True
129_5.csv,129,129,20,True,True,True
13_5.csv,13,13,19,True,True,True
130_5.csv,130,130,14,True,True,True
131_5.csv,131,131,20,True,True,True
132_5.csv,132,132,14,True,True,True
133_5.csv,133,133,21,True,True,True
134_5.csv,134,134,23,True,True,True
135_5.csv,135,135,31,False,True,False
136_5.csv,136,136,18,True,True,True
137_5.csv,137,137,16,True,True,True
138_5.csv,138,138,26,False,True,False
139_5.csv,139,139,20,True,True,True
14_5.csv,14,14,13,True,True,True
140_5.csv,140,140,23,True,True,True
15_5.csv,15,15,15,True,True,True
151_5.csv,151,151,22,True,True,True
152_5.csv,152,152,12,True,True,True
153_5.csv,153,153,15,True,True,True
154_5.csv,154,154,22,True,True,True
155_5.csv,155,155,17,True,True,True
156_5.csv,156,156,8,True,True,True
157_5.csv,157,157,8,True,True,True
158_5.csv,158,158,13,True,True,True
159_5.csv,159,159,11,True,True,True
16_5.csv,16,16,27,False,True,False
160_5.csv,160,160,9,True,True,True
161_5.csv,161,161,20,True,True,True
162_5.csv,162,162,14,True,True,True
163_5.csv,163,163,9,True,True,True
164_5.csv,164,164,14,True,True,True
165_5.csv,165,165,11,True,True,True
166_5.csv,166,166,13,True,True,True
167_5.csv,167,167,8,True,True,True
168_5.csv,168,168,15,True,True,True
169_5.csv,169,169,10,True,True,True
17_5.csv,17,17,6,True,True,True
170_5.csv,170,170,11,True,True,True
171_5.csv,171,171,17,True,True,True
172_5.csv,172,172,16,True,True,True
173_5.csv,173,173,17,True,True,True
174_5.csv,174,174,18,True,True,True
175_5.csv,175,175,16,True,True,True
176_5.csv,176,176,13,True,True,True
177_5.csv,177,177,20,True,True,True
178_5.csv,178,178,16,True,True,True
179_5.csv,179,179,15,True,True,True
18_5.csv,18,18,19,True,True,True
180_5.csv,180,180,9,True,True,True
181_5.csv,181,181,14,True,True,True
182_5.csv,182,182,11,True,True,True
